,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
85,202332,Cole Aldrich,1610612746,LAC,27.0,60,800.0,10,10,0,0,0,2,5,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
86,201147,Corey Brewer,1610612745,HOU,30.0,82,1669.0,10,4,6,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
87,203928,Cory Jefferson,1610612756,PHX,25.0,8,50.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
88,202709,Cory Joseph,1610612761,TOR,24.0,80,2046.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
89,1626262,Coty Clarke,1610612738,BOS,23.0,3,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
90,201584,Courtney Lee,1610612766,CHA,30.0,79,2334.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
91,1626245,Cristiano Felicio,1610612741,CHI,23.0,31,321.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
92,1626156,D'Angelo Russell,1610612747,LAL,20.0,80,2259.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
93,201571,D.J. Augustin,1610612743,DEN,28.0,62,1178.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
94,2563,Dahntay Jones,1610612739,CLE,35.0,1,42.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
95,203081,Damian Lillard,1610612757,POR,25.0,75,2676.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
96,203996,Damien Inglis,1610612749,MIL,21.0,20,156.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
97,204014,Damjan Rudez,1610612750,MIN,30.0,33,277.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
98,201568,Danilo Gallinari,1610612743,DEN,27.0,53,1839.0,7,5,2,3,2,2,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
99,201980,Danny Green,1610612759,SAS,29.0,79,2062.0,4,3,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
100,201967,Dante Cunningham,1610612740,NOP,29.0,80,1971.0,5,4,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
101,201589,Darrell Arthur,1610612743,DEN,28.0,70,1516.0,9,7,2,1,0,2,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
102,201954,Darren Collison,1610612758,SAC,28.0,74,2219.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
103,1626199,Darrun Hilliard,1610612765,DET,23.0,38,383.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
104,101135,David Lee,1610612742,DAL,33.0,55,903.0,15,13,2,5,0,4,11,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
105,2561,David West,1610612759,SAS,35.0,78,1404.0,4,3,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
